State,Year,Week,Men,Women,MenN,WomenN
GUA,2015,48,0,0,0.0,0.0
GUA,2015,49,0,0,0.0,0.0
GUA,2015,50,0,0,0.0,0.0
GUA,2015,51,0,0,0.0,0.0
GUA,2015,52,0,0,0.0,0.0
GUA,2016,1,0,0,0.0,0.0
GUA,2016,2,0,0,0.0,0.0
GUA,2016,3,0,0,0.0,0.0
GUA,2016,4,0,0,0.0,0.0
GUA,2016,5,0,0,0.0,0.0
GUA,2016,6,0,0,0.0,0.0
GUA,2016,7,0,0,0.0,0.0
GUA,2016,8,0,0,0.0,0.0
GUA,2016,9,0,0,0.0,0.0
GUA,2016,10,0,0,0.0,0.0
GUA,2016,11,0,0,0.0,0.0
GUA,2016,12,0,0,0.0,0.0
GUA,2016,13,0,0,0.0,0.0
GUA,2016,14,0,0,0.0,0.0
GUA,2016,15,0,0,0.0,0.0
GUA,2016,16,0,0,0.0,0.0
GUA,2016,17,0,0,0.0,0.0
GUA,2016,18,0,0,0.0,0.0
GUA,2016,19,0,0,0.0,0.0
GUA,2016,20,0,0,0.0,0.0
GUA,2016,21,0,0,0.0,0.0
GUA,2016,22,0,0,0.0,0.0
GUA,2016,23,0,0,0.0,0.0
GUA,2016,24,0,0,0.0,0.0
GUA,2016,25,0,0,0.0,0.0
GRO,2015,47,0,0,0.0,0.0
GRO,2015,48,0,0,0.0,0.0
GRO,2015,49,0,0,0.0,0.0
GRO,2015,50,0,0,0.0,0.0
GRO,2015,51,0,0,0.0,0.0
GRO,2015,52,0,0,0.0,0.0
GRO,2016,1,0,0,0.0,0.0
GRO,2016,2,0,0,0.0,0.0
GRO,2016,3,0,0,0.0,0.0
GRO,2016,4,0,1,0.0,5.73655337547e-07
GRO,2016,5,0,1,0.0,5.73655337547e-07
GRO,2016,6,1,0,6.07695491082e-07,0.0
GRO,2016,7,0,0,0.0,0.0
GRO,2016,8,1,1,6.07695491082e-07,5.73655337547e-07
GRO,2016,9,0,0,0.0,0.0
GRO,2016,10,1,1,6.07695491082e-07,5.73655337547e-07
GRO,2016,11,0,0,0.0,0.0
GRO,2016,12,0,0,0.0,0.0
GRO,2016,13,1,1,6.07695491082e-07,5.73655337547e-07
GRO,2016,14,0,2,0.0,1.14731067509e-06
GRO,2016,15,0,1,0.0,5.73655337547e-07
GRO,2016,16,1,0,6.07695491082e-07,0.0
GRO,2016,17,0,1,0.0,5.73655337547e-07
GRO,2016,18,3,4,1.82308647325e-06,2.29462135019e-06
GRO,2016,19,0,2,0.0,1.14731067509e-06
GRO,2016,20,0,1,0.0,5.73655337547e-07
GRO,2016,21,1,11,6.07695491082e-07,6.31020871302e-06
GRO,2016,22,0,0,0.0,0.0
GRO,2016,23,3,2,1.82308647325e-06,1.14731067509e-06
GRO,2016,24,12,48,7.29234589298e-06,2.75354562023e-05
GRO,2016,25,5,31,3.03847745541e-06,1.7783315464e-05
HID,2015,47,0,0,0.0,0.0
HID,2015,48,0,0,0.0,0.0
HID,2015,49,0,0,0.0,0.0
HID,2015,50,0,0,0.0,0.0
HID,2015,51,0,0,0.0,0.0
HID,2015,52,1,0,7.78075694316e-07,0.0
HID,2016,1,0,0,0.0,0.0
HID,2016,2,0,0,0.0,0.0
HID,2016,3,0,0,0.0,0.0
HID,2016,4,0,0,0.0,0.0
HID,2016,5,0,0,0.0,0.0
HID,2016,6,0,0,0.0,0.0
HID,2016,7,0,0,0.0,0.0
HID,2016,8,0,0,0.0,0.0
HID,2016,9,0,0,0.0,0.0
HID,2016,10,0,0,0.0,0.0
HID,2016,11,0,0,0.0,0.0
HID,2016,12,0,0,0.0,0.0
HID,2016,13,0,0,0.0,0.0
HID,2016,14,0,0,0.0,0.0
HID,2016,15,0,0,0.0,0.0
HID,2016,16,0,0,0.0,0.0
HID,2016,17,0,0,0.0,0.0
HID,2016,18,0,0,0.0,0.0
HID,2016,19,0,0,0.0,0.0
HID,2016,20,0,0,0.0,0.0
HID,2016,21,0,0,0.0,0.0
HID,2016,22,0,0,0.0,0.0
HID,2016,23,0,0,0.0,0.0
HID,2016,24,0,0,0.0,0.0
HID,2016,25,0,0,0.0,0.0
JAL,2015,47,0,0,0.0,0.0
JAL,2015,48,0,0,0.0,0.0
JAL,2015,49,0,0,0.0,0.0
JAL,2015,50,0,0,0.0,0.0
JAL,2015,51,0,0,0.0,0.0
JAL,2015,52,0,0,0.0,0.0
JAL,2016,1,0,0,0.0,0.0
JAL,2016,2,0,0,0.0,0.0
JAL,2016,3,0,0,0.0,0.0
JAL,2016,4,0,0,0.0,0.0
JAL,2016,5,0,0,0.0,0.0
JAL,2016,6,0,0,0.0,0.0
JAL,2016,7,0,0,0.0,0.0
JAL,2016,8,1,0,2.77728326706e-07,0.0
JAL,2016,9,0,0,0.0,0.0
JAL,2016,10,0,0,0.0,0.0
JAL,2016,11,0,0,0.0,0.0
JAL,2016,12,0,0,0.0,0.0
JAL,2016,13,0,0,0.0,0.0
JAL,2016,14,1,0,2.77728326706e-07,0.0
JAL,2016,15,0,0,0.0,0.0
JAL,2016,16,0,1,0.0,2.66663751143e-07
JAL,2016,17,0,0,0.0,0.0
JAL,2016,18,0,0,0.0,0.0
JAL,2016,19,0,0,0.0,0.0
JAL,2016,20,0,0,0.0,0.0
JAL,2016,21,0,1,0.0,2.66663751143e-07
JAL,2016,22,0,0,0.0,0.0
JAL,2016,23,0,0,0.0,0.0
JAL,2016,24,0,0,0.0,0.0
JAL,2016,25,0,0,0.0,0.0
MEX,2015,47,0,0,0.0,0.0
MEX,2015,48,0,0,0.0,0.0
MEX,2015,49,0,0,0.0,0.0
MEX,2015,50,0,0,0.0,0.0
MEX,2015,51,0,0,0.0,0.0
MEX,2015,52,0,0,0.0,0.0
MEX,2016,1,0,0,0.0,0.0
MEX,2016,2,0,0,0.0,0.0
MEX,2016,3,0,0,0.0,0.0
MEX,2016,4,0,0,0.0,0.0
MEX,2016,5,0,0,0.0,0.0
MEX,2016,6,0,0,0.0,0.0
MEX,2016,7,0,0,0.0,0.0
MEX,2016,8,0,0,0.0,0.0
MEX,2016,9,0,0,0.0,0.0
MEX,2016,10,0,0,0.0,0.0
MEX,2016,11,0,0,0.0,0.0
MEX,2016,12,0,0,0.0,0.0
MEX,2016,13,0,0,0.0,0.0
MEX,2016,14,0,0,0.0,0.0
MEX,2016,15,0,0,0.0,0.0
MEX,2016,16,0,0,0.0,0.0
MEX,2016,17,0,0,0.0,0.0
MEX,2016,18,0,0,0.0,0.0
MEX,2016,19,0,0,0.0,0.0
MEX,2016,20,0,0,0.0,0.0
MEX,2016,21,0,0,0.0,0.0
MEX,2016,22,0,0,0.0,0.0
MEX,2016,23,0,0,0.0,0.0
MEX,2016,24,0,0,0.0,0.0
MEX,2016,25,0,0,0.0,0.0
MIC,2015,47,0,0,0.0,0.0
MIC,2015,48,0,0,0.0,0.0
MIC,2015,49,0,0,0.0,0.0
MIC,2015,50,0,0,0.0,0.0
MIC,2015,51,0,0,0.0,0.0
MIC,2015,52,0,0,0.0,0.0
MIC,2016,1,0,0,0.0,0.0
MIC,2016,2,0,0,0.0,0.0
MIC,2016,3,0,0,0.0,0.0
MIC,2016,4,0,0,0.0,0.0
MIC,2016,5,0,0,0.0,0.0
MIC,2016,6,1,0,4.75712724697e-07,0.0
MIC,2016,7,0,0,0.0,0.0
MIC,2016,8,0,0,0.0,0.0
MIC,2016,9,0,0,0.0,0.0
MIC,2016,10,0,0,0.0,0.0
MIC,2016,11,0,0,0.0,0.0
MIC,2016,12,0,0,0.0,0.0
MIC,2016,13,1,0,4.75712724697e-07,0.0
MIC,2016,14,0,0,0.0,0.0
MIC,2016,15,0,0,0.0,0.0
MIC,2016,16,0,1,0.0,4.44656298468e-07
MIC,2016,17,0,0,0.0,0.0
MIC,2016,18,0,0,0.0,0.0
MIC,2016,19,0,1,0.0,4.44656298468e-07
MIC,2016,20,0,0,0.0,0.0
MIC,2016,21,0,0,0.0,0.0
MIC,2016,22,0,0,0.0,0.0
MIC,2016,23,0,0,0.0,0.0
MIC,2016,24,0,3,0.0,1.3339688954e-06
MIC,2016,25,1,1,4.75712724697e-07,4.44656298468e-07
MOR,2015,47,0,0,0.0,0.0
MOR,2015,48,0,0,0.0,0.0
MOR,2015,49,0,0,0.0,0.0
MOR,2015,50,0,0,0.0,0.0
MOR,2015,51,0,0,0.0,0.0
MOR,2015,52,0,0,0.0,0.0
MOR,2016,1,0,0,0.0,0.0
MOR,2016,2,0,0,0.0,0.0
MOR,2016,3,0,0,0.0,0.0
MOR,2016,4,0,0,0.0,0.0
MOR,2016,5,0,0,0.0,0.0
MOR,2016,6,0,0,0.0,0.0
MOR,2016,7,0,0,0.0,0.0
MOR,2016,8,0,0,0.0,0.0
MOR,2016,9,0,0,0.0,0.0
MOR,2016,10,0,0,0.0,0.0
MOR,2016,11,0,0,0.0,0.0
MOR,2016,12,0,0,0.0,0.0
MOR,2016,13,0,0,0.0,0.0
MOR,2016,14,0,0,0.0,0.0
MOR,2016,15,0,0,0.0,0.0
MOR,2016,16,0,0,0.0,0.0
MOR,2016,17,0,0,0.0,0.0
MOR,2016,18,0,0,0.0,0.0
MOR,2016,19,0,0,0.0,0.0
MOR,2016,20,0,0,0.0,0.0
MOR,2016,21,0,0,0.0,0.0
MOR,2016,22,0,0,0.0,0.0
MOR,2016,23,0,0,0.0,0.0
MOR,2016,24,0,0,0.0,0.0
MOR,2016,25,0,0,0.0,0.0
NAY,2015,47,0,0,0.0,0.0
NAY,2015,48,0,0,0.0,0.0
NAY,2015,49,0,0,0.0,0.0
NAY,2015,50,0,0,0.0,0.0
NAY,2015,51,0,0,0.0,0.0
NAY,2015,52,0,0,0.0,0.0
NAY,2016,1,0,0,0.0,0.0
NAY,2016,2,0,0,0.0,0.0
NAY,2016,3,0,0,0.0,0.0
NAY,2016,4,0,0,0.0,0.0
NAY,2016,5,0,0,0.0,0.0
NAY,2016,6,0,0,0.0,0.0
NAY,2016,7,0,0,0.0,0.0
NAY,2016,8,0,0,0.0,0.0
NAY,2016,9,0,1,0.0,1.83832991404e-06
NAY,2016,10,0,0,0.0,0.0
NAY,2016,11,0,0,0.0,0.0
NAY,2016,12,0,0,0.0,0.0
NAY,2016,13,0,0,0.0,0.0
NAY,2016,14,0,0,0.0,0.0
NAY,2016,15,0,0,0.0,0.0
NAY,2016,16,0,0,0.0,0.0
NAY,2016,17,0,0,0.0,0.0
NAY,2016,18,0,0,0.0,0.0
