State,Year,Station,Men,Women,MenN,WomenN
CHP,2015,winter,0,0,0.0,0.0
CHP,2016,spring,0,0,0.0,0.0
CHP,2016,winter,0,0,0.0,0.0
COA,2008,fall,0,0,0.0,0.0
COA,2008,spring,0,0,0.0,0.0
COA,2008,summer,0,0,0.0,0.0
COA,2008,winter,0,0,0.0,0.0
COA,2009,fall,0,0,0.0,0.0
COA,2009,spring,0,0,0.0,0.0
COA,2009,summer,0,0,0.0,0.0
COA,2009,winter,0,-85,0.0,-6.14075772616e-05
COA,2010,fall,0,0,0.0,0.0
COA,2010,spring,0,0,0.0,0.0
COA,2010,summer,0,0,0.0,0.0
COA,2010,winter,0,0,0.0,0.0
COA,2011,fall,0,0,0.0,0.0
COA,2011,spring,0,0,0.0,0.0
COA,2011,summer,0,0,0.0,0.0
COA,2011,winter,0,0,0.0,0.0
COA,2012,fall,0,0,0.0,0.0
COA,2012,spring,0,0,0.0,0.0
COA,2012,summer,0,0,0.0,0.0
COA,2012,winter,0,0,0.0,0.0
COA,2013,fall,0,0,0.0,0.0
COA,2013,spring,0,0,0.0,0.0
COA,2013,summer,0,0,0.0,0.0
COA,2013,winter,0,0,0.0,0.0
COA,2014,fall,0,0,0.0,0.0
COA,2014,spring,0,0,0.0,0.0
COA,2014,summer,-1,-2,-7.3303195946e-07,-1.44488417086e-06
COA,2014,winter,0,0,0.0,0.0
COA,2015,fall,0,0,0.0,0.0
COA,2015,spring,0,0,0.0,0.0
COA,2015,summer,0,0,0.0,0.0
COA,2015,winter,0,0,0.0,0.0
COA,2016,spring,0,0,0.0,0.0
COA,2016,winter,0,0,0.0,0.0
COL,2008,fall,0,0,0.0,0.0
COL,2008,spring,-3,0,-9.29396821463e-06,0.0
COL,2008,summer,0,0,0.0,0.0
COL,2008,winter,-3,-924,-9.29396821463e-06,-0.0028190929476900003
COL,2009,fall,0,0,0.0,0.0
COL,2009,spring,6,1,1.85879364293e-05,3.0509663936099997e-06
COL,2009,summer,12,13,3.71758728585e-05,3.96625631169e-05
COL,2009,winter,-5,0,-1.54899470244e-05,0.0
COL,2010,fall,0,0,0.0,0.0
COL,2010,spring,0,0,0.0,0.0
COL,2010,summer,1,1,3.09798940488e-06,3.0509663936099997e-06
COL,2010,winter,0,0,0.0,0.0
COL,2011,fall,16,25,4.9567830477999996e-05,7.62741598401e-05
COL,2011,spring,3,3,9.29396821463e-06,9.15289918082e-06
COL,2011,summer,6,8,1.85879364293e-05,2.44077311488e-05
COL,2011,winter,0,0,0.0,0.0
COL,2012,fall,0,0,0.0,0.0
COL,2012,spring,0,0,0.0,0.0
COL,2012,summer,0,-1,0.0,-3.0509663936099997e-06
COL,2012,winter,0,0,0.0,0.0
COL,2013,fall,16,25,4.9567830477999996e-05,7.62741598401e-05
COL,2013,spring,3,3,9.29396821463e-06,9.15289918082e-06
COL,2013,summer,6,8,1.85879364293e-05,2.44077311488e-05
COL,2013,winter,0,0,0.0,0.0
COL,2014,fall,1,3,3.09798940488e-06,9.15289918082e-06
COL,2014,spring,0,0,0.0,0.0
COL,2014,summer,-8,-8,-2.4783915238999998e-05,-2.44077311488e-05
COL,2014,winter,0,-6,0.0,-1.83057983616e-05
COL,2015,fall,0,0,0.0,0.0
COL,2015,spring,-15,4,-4.64698410731e-05,1.22038655744e-05
COL,2015,summer,4,9,1.23919576195e-05,2.74586975424e-05
COL,2015,winter,0,0,0.0,0.0
COL,2016,spring,0,0,0.0,0.0
COL,2016,winter,0,0,0.0,0.0
DIF,2008,fall,0,0,0.0,0.0
DIF,2008,spring,0,0,0.0,0.0
DIF,2008,summer,0,0,0.0,0.0
DIF,2008,winter,0,0,0.0,0.0
DIF,2009,fall,0,0,0.0,0.0
DIF,2009,spring,0,0,0.0,0.0
DIF,2009,summer,0,0,0.0,0.0
DIF,2009,winter,0,0,0.0,0.0
DIF,2010,fall,0,0,0.0,0.0
DIF,2010,spring,0,0,0.0,0.0
DIF,2010,summer,0,0,0.0,0.0
DIF,2010,winter,0,0,0.0,0.0
DIF,2011,fall,0,0,0.0,0.0
DIF,2011,spring,0,0,0.0,0.0
DIF,2011,summer,0,0,0.0,0.0
DIF,2011,winter,0,0,0.0,0.0
DIF,2012,fall,0,0,0.0,0.0
DIF,2012,spring,0,0,0.0,0.0
DIF,2012,summer,0,0,0.0,0.0
DIF,2012,winter,0,0,0.0,0.0
DIF,2013,fall,0,0,0.0,0.0
DIF,2013,spring,0,0,0.0,0.0
DIF,2013,summer,0,0,0.0,0.0
DIF,2013,winter,0,0,0.0,0.0
DIF,2014,fall,0,0,0.0,0.0
DIF,2014,spring,0,0,0.0,0.0
DIF,2014,summer,0,0,0.0,0.0
DIF,2014,winter,0,0,0.0,0.0
DIF,2015,fall,0,0,0.0,0.0
DIF,2015,spring,0,0,0.0,0.0
DIF,2015,summer,0,0,0.0,0.0
DIF,2015,winter,0,0,0.0,0.0
DIF,2016,spring,0,0,0.0,0.0
DIF,2016,winter,0,0,0.0,0.0
DUR,2008,fall,0,0,0.0,0.0
DUR,2008,spring,0,0,0.0,0.0
DUR,2008,summer,0,0,0.0,0.0
DUR,2008,winter,0,0,0.0,0.0
DUR,2009,fall,-1695,-1859,-0.00210849743124,-0.0022423417816199998
DUR,2009,spring,0,0,0.0,0.0
DUR,2009,summer,0,0,0.0,0.0
DUR,2009,winter,0,0,0.0,0.0
DUR,2010,fall,0,0,0.0,0.0
DUR,2010,spring,0,0,0.0,0.0
DUR,2010,summer,0,0,0.0,0.0
DUR,2010,winter,0,0,0.0,0.0
DUR,2011,fall,0,0,0.0,0.0
DUR,2011,spring,0,0,0.0,0.0
DUR,2011,summer,0,0,0.0,0.0
DUR,2011,winter,0,0,0.0,0.0
DUR,2012,fall,0,0,0.0,0.0
DUR,2012,spring,0,0,0.0,0.0
DUR,2012,summer,0,0,0.0,0.0
DUR,2012,winter,0,0,0.0,0.0
DUR,2013,fall,0,0,0.0,0.0
DUR,2013,spring,0,0,0.0,0.0
DUR,2013,summer,0,0,0.0,0.0
DUR,2013,winter,0,0,0.0,0.0
DUR,2014,fall,0,0,0.0,0.0
DUR,2014,spring,0,0,0.0,0.0
DUR,2014,summer,-3,0,-3.7318538606e-06,0.0
DUR,2014,winter,0,0,0.0,0.0
DUR,2015,fall,0,0,0.0,0.0
DUR,2015,spring,0,0,0.0,0.0
DUR,2015,summer,0,0,0.0,0.0
DUR,2015,winter,0,0,0.0,0.0
DUR,2016,spring,0,0,0.0,0.0
DUR,2016,winter,0,0,0.0,0.0
GRO,2008,fall,-993,-969,-0.000603441622644,-0.000555872022083
GRO,2008,spring,2,3,1.21539098216e-06,1.7209660126400002e-06
GRO,2008,summer,10,29,6.07695491082e-06,1.66360047889e-05
GRO,2008,winter,0,0,0.0,0.0
GRO,2009,fall,-45,0,-2.73462970987e-05,0.0
GRO,2009,spring,6,5,3.6461729464900003e-06,2.86827668774e-06
GRO,2009,summer,5,11,3.03847745541e-06,6.31020871302e-06
GRO,2009,winter,0,0,0.0,0.0
GRO,2010,fall,0,0,0.0,0.0
GRO,2010,spring,10,11,6.07695491082e-06,6.31020871302e-06
GRO,2010,summer,34,30,2.06616466968e-05,1.72096601264e-05
GRO,2010,winter,0,0,0.0,0.0
GRO,2011,fall,10,-77,6.07695491082e-06,-4.41714609912e-05
